C,SF,FA,SL,MK,Fine_Agg,Coarse_Agg,W,SP,L,D,Fiber_Volume_pct,CS,W_C_ratio,Total_Binder,Total_Fiber,SF_C_ratio,W_Binder_ratio,Fiber_Aspect_Ratio
405.0,0.0,0.0,0.0,44.55,810.0,943.65,141.75,13.0,60.0,0.75,0.7496815286624204,76.0,0.3499999991358025,449.55,0.7496815286624204,0.0,0.3153153146139132,79.99989333347555
405.0,0.0,0.0,0.0,44.55,810.0,943.65,141.75,20.0,30.0,0.75,0.7496815286624204,73.5,0.3499999991358025,449.55,0.7496815286624204,0.0,0.3153153146139132,39.99994666673778
350.0,0.0,0.0,0.0,0.0,938.0,938.0,175.0,4.75,0.0,0.0,0.0,46.0,0.49999999857142857,350.0,0.0,0.0,0.49999999857142857,0.0
350.0,0.0,0.0,0.0,0.0,938.0,938.0,175.0,4.75,60.0,0.75,0.249936305732484,49.0,0.49999999857142857,350.0,0.249936305732484,0.0,0.49999999857142857,79.99989333347555
350.0,0.0,0.0,0.0,0.0,938.0,938.0,175.0,6.0,30.0,0.75,0.249936305732484,48.0,0.49999999857142857,350.0,0.249936305732484,0.0,0.49999999857142857,39.99994666673778
350.0,0.0,0.0,0.0,0.0,938.0,938.0,175.0,7.5,60.0,0.75,0.7496815286624204,59.0,0.49999999857142857,350.0,0.7496815286624204,0.0,0.49999999857142857,79.99989333347555
350.0,0.0,0.0,0.0,0.0,938.0,938.0,175.0,10.25,30.0,0.75,0.7496815286624204,54.0,0.49999999857142857,350.0,0.7496815286624204,0.0,0.49999999857142857,39.99994666673778
315.0,0.0,0.0,0.0,34.65,935.55,935.55,157.5,6.25,0.0,0.0,0.0,49.0,0.49999999841269843,349.65,0.0,0.0,0.4504504491621609,0.0
315.0,0.0,0.0,0.0,34.65,935.55,935.55,157.5,6.75,60.0,0.75,0.249936305732484,53.0,0.49999999841269843,349.65,0.249936305732484,0.0,0.4504504491621609,79.99989333347555
315.0,0.0,0.0,0.0,34.65,935.55,935.55,157.5,12.5,30.0,0.75,0.249936305732484,49.0,0.49999999841269843,349.65,0.249936305732484,0.0,0.4504504491621609,39.99994666673778
315.0,0.0,0.0,0.0,34.65,935.55,935.55,157.5,8.5,60.0,0.75,0.7496815286624204,59.0,0.49999999841269843,349.65,0.7496815286624204,0.0,0.4504504491621609,79.99989333347555
315.0,0.0,0.0,0.0,34.65,935.55,935.55,157.5,11.0,30.0,0.75,0.7496815286624204,54.0,0.49999999841269843,349.65,0.7496815286624204,0.0,0.4504504491621609,39.99994666673778
451.0,0.0,0.0,0.0,0.0,649.4399999999999,1118.48,225.5,0.0,0.0,0.0,0.0,33.0,0.49999999889135255,451.0,0.0,0.0,0.49999999889135255,0.0
451.0,0.0,0.0,0.0,0.0,649.4399999999999,1118.48,225.5,0.0,38.0,0.5,1.4904458598726114,34.42,0.49999999889135255,451.0,1.4904458598726114,0.0,0.49999999889135255,75.999848000304
451.0,0.0,0.0,0.0,0.0,649.4399999999999,1118.48,225.5,0.0,15.0,0.3,1.4904458598726114,36.58,0.49999999889135255,451.0,1.4904458598726114,0.0,0.49999999889135255,49.999833333888894
400.0,0.0,0.0,0.0,0.0,732.0,1384.0,204.0,0.0,0.0,0.0,0.0,25.2,0.509999998725,400.0,0.0,0.0,0.509999998725,0.0
400.0,0.0,0.0,0.0,0.0,732.0,1384.0,204.0,0.0,17.0,0.8,0.2547770700636942,25.4,0.509999998725,400.0,0.2547770700636942,0.0,0.509999998725,21.2499734375332
400.0,0.0,0.0,0.0,0.0,732.0,1384.0,204.0,0.0,17.0,0.8,0.5095541401273885,26.4,0.509999998725,400.0,0.5095541401273885,0.0,0.509999998725,21.2499734375332
400.0,0.0,0.0,0.0,0.0,732.0,1384.0,204.0,0.0,17.0,0.8,0.7643312101910829,25.8,0.509999998725,400.0,0.7643312101910829,0.0,0.509999998725,21.2499734375332
400.0,0.0,0.0,0.0,0.0,732.0,1384.0,204.0,0.0,17.0,0.8,0.2547770700636942,25.3,0.509999998725,400.0,0.2547770700636942,0.0,0.509999998725,21.2499734375332
400.0,0.0,0.0,0.0,0.0,732.0,1384.0,204.0,0.0,17.0,0.8,0.5095541401273885,25.8,0.509999998725,400.0,0.5095541401273885,0.0,0.509999998725,21.2499734375332
400.0,0.0,0.0,0.0,0.0,732.0,1384.0,204.0,0.0,17.0,0.8,0.7643312101910829,26.4,0.509999998725,400.0,0.7643312101910829,0.0,0.509999998725,21.2499734375332
