Feature,Importance
W_Binder_ratio,0.17920730702083773
W_C_ratio,0.16314170147881446
SF,0.15717869172191723
SF_C_ratio,0.14456955189247853
W,0.0720126859050078
Coarse_Agg,0.05853603188724593
Total_Binder,0.049755932004109646
SP,0.04505018161568237
C,0.03888674610745622
FA,0.026275037052037337
Fine_Agg,0.024841597086240938
Total_Fiber,0.017289406917674055
Fiber_Aspect_Ratio,0.012072003700641125
D,0.01118312560985675
