Metric,Train,Test
R²,0.9999746666198037,0.9426696062388554
RMSE,0.10577644942461226,4.173369079245438
MAE,0.015499951923586271,2.76393152380959
MAPE,0.018830449434698044,6.462516176547604
MSE,0.011188657252877555,17.41700947160191
Max_Error,1.0424250000001507,13.174970000000783
MdAE,6.075140390748857e-13,1.850390000000381
MAD,6.075140390748857e-13,1.8057900000004352
Explained_Variance,0.9999746666198037,0.9429269083571269
